ก.	kram0	gram;abbr. for กรัม
การแทน	ka:n0TE:n0	replacement
การแทนที่	ka:n0TE:n0Ti:2	replacement;supersession;substitution
การแทรก	ka:n0sE:k2	insertion;infiltration;permeation;penetration
การแนบ	ka:n0nE:p2	addition
การแนบท้าย	ka:n0nE:p2Ta:j3	addition
การแนะ	ka:n0nE3	suggestion
การแนะนำ	ka:n0nE3nam0	guidance
การแนะนำเบื้องต้น	ka:n0nE3nam0bW:aN2ton2	orientation
การแนะแนว	ka:n0nE3nE:w0	guidance;direction;counsel;instruction;advice
การแนะแนวทาง	ka:n0nE3nE:w0Ta:N0	direction
การแบก	ka:n0bE:k1	carrying (by two persons)
การแบ่ง	ka:n0bEN1	distribution
การแบ่งแยก	ka:n0bEN1jE:k2	split
การแปร	ka:n0prE:0	change;alternation;modification;amendment;transformation;transmutation;transition
การแปรง	ka:n0prE:N0	brushing;sweeping or polishing with a brush
การแปรผัน	ka:n0prE:0Pan4	alteration
การแปรเปลี่ยน	ka:n0prE:0pli:an1	change
การแปล	ka:n0plE:0	translation
การแปลความหมาย	ka:n0plE:0Kwa:m0ma:j4	interpretation;explication;elucidation;translation
การแปลภาษาด้วยคอมพิวเตอร์	ka:n0plE:0Pa:0sa:4du:aj2KO:m0Piw3tx:2	machine translation
การแปลภาษาด้วยเครื่อง	ka:n0plE:0Pa:0sa:4du:aj2KrW:aN2	machine translation
การแผดเสียง	ka:n0PE:t1si:aN4	roar;snarl;bluster;scream;shriek;shout;howl;yowl;squall;bawling;yelling
การแผ่รังสี	ka:n0PE:1raN0si:4	radiation
การแผ่อาณาเขต	ka:n0PE:1a:0na:0Ke:t1	territory expansion;extension;spread
การแพทย์	ka:n0PE:t2	medical profession;medication;general practice;family practice
การแพร่ข่าว	ka:n0PrE:2Ka:w1	publication
การแพร่พันธุ์	ka:n0PrE:2Pan0	reproduction
การแพร่ภาพ	ka:n0PrE:2Pa:p2	broadcast;telecast;transmission;show
การแพ้	ka:n0PE:3	defeat
การแพ้ยา	ka:n0PE:3ja:0	allergy;drug allergy
การแพ้เปรียบ	ka:n0PE:3pri:ap1	disadvantage
การแฟบ	ka:n0fE:p2	contraction
การแยก	ka:n0jE:k2	separation
การแยกกัน	ka:n0jE:k2kan0	divorce
การแยกทาง	ka:n0jE:k2Ta:N0	divorce
การแยกออก	ka:n0jE:k2O:k1	demolition
การแย้ง	ka:n0jE:N3	objection
การแลกเปลี่ยน	ka:n0lE:k2pli:an1	shuffle
การแลกเปลี่ยนความคิดเห็น	ka:n0lE:k2pli:an1Kwa:m0Kit3hen4	opinion
การแสดง	ka:n0sa0dE:N0	performance
การแสดงกล	ka:n0sa0dE:N0kon0	jugglery
การแสดงความคิดเห็น	ka:n0sa0dE:N0Kwa:m0Kit3hen4	opinion;voice;view;idea;point of view
การแสดงดนตรี	ka:n0sa0dE:N0don0tri:0	concert
การแสดงตัว	ka:n0sa0dE:N0tu:a0	appearance
การแสดงละคร	ka:n0sa0dE:N0la0KO:n0	performance
การแสดงออก	ka:n0sa0dE:N0O:k1	expression;show-off
การแสดงไต่ลวด	ka:n0sa0dE:N0taj1lu:at2	walk on the tightrope
การแสร้งทำ	ka:n0sE:N2Tam0	pretence
การแสวงหา	ka:n0sa0wE:N4ha:4	seeking
การแหย่	ka:n0jE:1	tickling
การโกง	ka:n0ko:N0	cheating;fraud;swindle
การโกนผม	ka:n0ko:n0Pom4	hair-shaving
การโกหก	ka:n0ko:0hok1	deception
การโค่นล้ม	ka:n0Ko:n2lom3	demolition
การโค้ง	ka:n0Ko:N3	bowing
การโฆษณา	ka:n0Ko:t2sa0na:0	advertisement
การโจมตี	ka:n0co:m0ti:0	attack
การโจมตีทางอากาศ	ka:n0co:m0ti:0Ta:N0a:0ka:t1	air strike
การโจรกรรม	ka:n0co:0ra0kam0	robbery;burglary;cheating;looting;pillage;swindling;theft;piracy
การโดน	ka:n0do:n0	conflicting with
การโต้ตอบ	ka:n0to:2tO:p1	counter;response;reply;retort;return;counterattack;conversation;talk;discussion;debate
การโต้วาที	ka:n0to:2wa:0Ti:0	debate
การโต้เถียง	ka:n0to:2Ti:aN4	controversy;dispute;disputation;debate;argument;discussion
การโต้แย้ง	ka:n0to:2jE:N3	controversy
การโน้ม	ka:n0no:m3	bending;curving;inclination;leaning
การโน้มน้าว	ka:n0no:m3na:w3	influence;conviction;persuasion;inducement
การโปรย	ka:n0pro:j0	strewing;scattering;spreading;showering;sprinkle;interspersion
การโปรยปราย	ka:n0pro:j0pra:j0	strewing
การโผยิน	ka:n0Po:4jin0	flying
การโม้	ka:n0mo:3	boast
การโยกย้าย	ka:n0jo:k2ja:j3	migration
การโยกย้ายถิ่นฐาน	ka:n0jo:k2ja:j3Tin1Ta:n4	emigration
การโยน	ka:n0jo:n0	throwing
การโรย	ka:n0ro:j0	strewing
การโหยหา	ka:n0ho:j4ha:4	yearning;wishing;seeking
การโอนเอน	ka:n0o:n0e:n0	unstability
การโอบกอด	ka:n0o:p1kO:t1	embrace
การโอ้อวด	ka:n0o:2u:at1	boast
การใคร่ครวญ	ka:n0Kraj2Kru:an0	analysis
การใช้งาน	ka:n0Caj3Na:n0	usability
การใช้บน	ka:n0Caj3bon0	votive offering;redeeming a vow;compensation for a vow
การใช้สอย	ka:n0Caj3sO:j4	utilization
การใช้เหตุผล	ka:n0Caj3he:t1Pon4	analysis
การใช้ใบ	ka:n0Caj3baj0	unfurling a sail
การใฝ่หา	ka:n0faj1ha:4	seeking;searching;examination;investigation;pursuing
การใส่	ka:n0saj1	package
การใส่รหัส	ka:n0saj1ra0hat1	coding
การใส่ร้ายป้ายสี	ka:n0saj1ra:j3pa:j2si:4	accusation
การให้	ka:n0haj2	alms
การให้ความสะดวก	ka:n0haj2Kwa:m0sa0du:ak1	facility
การให้ความหมาย	ka:n0haj2Kwa:m0ma:j4	definition
การให้คำปรึกษา	ka:n0haj2Kam0prWk1sa:4	guidance
การให้คำมั่น	ka:n0haj2Kam0man2	contract
การให้ทาน	ka:n0haj2Ta:n0	giving alms;giving in charity
การให้พร	ka:n0haj2PO:n0	blessing
การให้อภัย	ka:n0haj2a0Paj0	forgiveness;pardon;excusing;toleration
การไกว	ka:n0kwaj0	swing
การไข่	ka:n0Kaj1	laying (eggs)
การได้ยิน	ka:n0daj2jin0	sense
การได้เปรียบ	ka:n0daj2pri:ap1	having an advantage over;being beneficial
การได้เสีย	ka:n0daj2si:a4	intercourse
การไตร่ตรอง	ka:n0traj1trO:N0	meditation;pondering;consideration
การไต่	ka:n0taj1	climb;crawl;creep
การไต่ถาม	ka:n0taj1Ta:m4	investigation
การไต่สวน	ka:n0taj1su:an4	investigation
การไถ	ka:n0Taj4	plow;plough;shoving
การไถ่	ka:n0Taj1	redemption;compensation;reclamation;paying off
การไถ่บาป	ka:n0Taj1ba:p1	expiation
การไป	ka:n0paj0	arrival
การไปมาหาสู่	ka:n0paj0ma:0ha:4su:1	visit;contact;intercourse;associate;touching;meeting
การไฟฟ้า	ka:n0faj0fa:3	electricity authority;power supply authority
การไฟฟ้านครหลวง	ka:n0faj0fa:3na0KO:n0lu:aN4	The Metropolitan Electricity Authority;MEA
การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย	ka:n0faj0fa:3fa:j1Pa0lit1hEN1pra0Te:t2Taj0	The Electricity Generating Authority of Thailand;EGAT
การไฟฟ้าส่วนภูมิภาค	ka:n0faj0fa:3su:an1Pu:0mi3Pa:k2	The Provincial Electricity Authority;EPA
การไม่ปิดบัง	ka:n0maj2pit1baN0	frankness
การไม่อ้อมค้อม	ka:n0maj2O:m2KO:m3	frankness
การไหว้	ka:n0wa:j2	prostration
การไหว้บูชา	ka:n0wa:j2bu:0Ca:0	worship
การ์ด	ka:t1	guard;CL: คน;card;CL: ใบ
การ์ตูน	ka:0tu:n0	cartoon;CL: เรื่อง;Amphiprion bifasciatus (Pomacentridae);species of marine fish
กาล	ka:n0	tense;time;period of time;era;epoch
กาลกิณี	ka:0la0ki1ni:0	misfortune;misery;adversity;mischance;unfortunate
กาลกิริยา	ka:n0ki1ri3ja:0	death
กาลครั้งหนึ่ง	ka:0la0KraN3nWN1	once
กาลนาน	ka:0la0na:n0	for ever and ever
กาลปาวสาน	ka:0la0pa:w0sa:n4	for ever and ever
กาลสมัย	ka:0la0sa0maj4	age
กาลักน้ำ	ka:0lak3na:m3	siphon
กาลี	ka:0li:0	Kali;the wife of Siva;CL: องค์;bad;evil;wicked;sinful;devilish
กาลเทศะ	ka:0la0Te:0sa1	time and place;occasion;situation;propriety;suitability;balance;rightness;appropriateness
กาลเวลา	ka:n0we:0la:0	time;period of time;era;epoch
กาลแรกตรัสรู้	ka:n0rE:k2trat1sa0ru:3	first time of enlightenment of Buddha
กาว	ka:w0	glue;gum;Lawsonia inermis Linn.;henna tree
กาวาง	ka:0wa:N0	Marian plum
กาวใจ	ka:w0caj0	glue;gum;cement;adhesive;CL: คน
กาษา	ka:0sa:4	kind of cloth;handwoven cloth;homespun cloth;handloomed cloth
กาสา	ka:0sa:4	kind of cloth
กาสาวพัสตร์	ka:0sa:w4Pat3	yellow robe
กาสิโน	ka:0si1no:0	casino
กาฬ	ka:n0	black mark of death;black;dark;dark blue
กาฬทวีป	ka:0la0Ta0wi:p2	Africa
กาฬปักษี	ka:0la0pak1si:4	infantile convulsions;a kind of pediatric disease
กาฬวาต	ka:n0la0wa:t2	hurricane;tropical storm
กาฬสินธุ์	ka:0la0sin4	Kalasin
กาฬโรค	ka:n0la0ro:k2	bubonic plague;oriental plague
กาฮัง	ka:0haN0	Buceros bicornis;great pied hornbill;CL: ตัว
กาเฟอีน	ka:0fe:0i:n0	caffeine;CL: สาร
กาเมศ	ka:0met3	full of sexual desire
กาเมสุมิจฉาจาร	ka:0me:0su1mit3Ca:4ca:n0	adultery
กาเยน	ka:0je:n0	amber
กาเยนทรีย์	ka:0je:n0si:0	body;physique
กาเวียน	ka:0wi:an0	kind of kettle;CL: ใบ, ลูก
กาแฟ	ka:0fE:0	coffee
กาแฟร้อน	ka:0fE:0rO:n3	hot coffee
กาแฟเย็น	ka:0fE:0jen0	iced coffee
กาแลคซี่ทางช้างเผือก	ka:0lEk3si:2Ta:N0Ca:N3PW:ak1	milky way
กาแล็กซี่	ka:0lEk3si:2	galaxy;CL: กาแล็กซี่
กาแล็กโทส	ka:0lEk3To:t3	galactose
กาไหล่	ka:0laj1	plated;coated;gilt;plate;coat;overlay;gild;gloss
กำ	kam0	linear measure equal to eight inches;to grasp;to hold;to clench;to grip;to seize;handful;bunch;bundle;spokes of a wheel;CL: ซี่
กำกวม	kam0ku:am0	ambiguous;doubtful;vague;unclear;obscure;dubious;equivocal;Burmese stork-billed kingfisher;Pelargopsis gurial burmanica;CL: ตัว
กำกัด	kam0kat1	to restrict;to limit
กำกับ	kam0kap1	to control;to regulate;to supervise;to attach;to add;to accompany
กำจร	kam0cO:n0	to spread;to emit;to disseminate (in the air)
กำจัด	kam0cat1	Zanthoxylum rhetsa (Roxb.) DC;CL: ต้น;to eradicate;to remove;to get rid of
กำจัดคราบ	kam0cat1Kra:p2	to wipe
กำจัดปัญหา	kam0cat1pan0ha:4	to end a problem
กำจาย	kam0ca:j0	to spread;to emit;to disseminate (in the air);Caesalpinia digyna Rottler;digyna;CL: ต้น
กำชับ	kam0Cap3	to reiterate;to urge;to repeat;to insist firmly;to instruct explicitly;to order repeatedly
กำชับกำชา	kam0Cap3kam0Ca:0	to reiterate;to urge;to repeat;to insist firmly;to instruct explicitly;to order repeatedly
กำซาบ	kam0sa:p2	to permeate;to penetrate;to pervade
กำซำ	kam0sam0	Lepisanthes rubiginosa Leenh.;CL: ต้น
กำดัด	kam0dat1	young;youthful;adolescent
กำดัน	kam0dan0	occipital bone
กำด้น	kam0don2	nape of the neck;occipital portion of the head
กำตัด	kam0tat1	gambling game without a banker;a kind of game
กำถั่ว	kam0Tu:a1	gamble by betting on how many seeds are held in both hands
กำทวน	kam0Tu:an0	to clamor;noisy;loud
กำธร	kam0TO:n0	to clamor;noisy;loud
กำนัน	kam0nan0	village leader
กำนัล	kam0nan0	to present;to give;present;gift;maid of honor
กำบัง	kam0baN0	shelter;shield;screen;to cover;to shield;to make a shelter for
กำบัด	kam0bat1	to brush away;to push away;to sweep away
กำปั่น	kam0pan1	ship;sailing ship;CL: ลำ;coffer;strong box;safe;CL: ใบ, ลูก;species of durian;CL: ลูก
กำปั้น	kam0pan2	fist
กำปั้นทุบดิน	kam0pan2Tup3din0	indistinctively
กำพด	kam0Pot3	great castle of elephant's head;kind of gable-end of a palace
กำพต	kam0Pot3	arrow;CL: เล่ม, ดอก
กำพราก	kam0Pra:k2	bamboo stick;bamboo spade
กำพร้า	kam0Pra:3	to orphan;orphaned;abandoned;helpless;Canavalia maritima (Aubl.) Thouars;Canavalia obtusifolia
กำพืด	kam0PW:t2	ancestry;lineage;birth;pedigree;genealogy;descendants;background
กำมพฤกษ์	kam0ma0PrWk3	tree of the genus cassis with pink flowers;CL: ต้น
กำมะถัน	kam0ma0Tan4	sulphur
กำมะหยี่	kam0ma0ji:2	velvet;Tagetes erecta;Sinningia speciosa;CL: ต้น
กำมือ	kam0mW:0	fist;handful
กำยาน	kam0ja:n0	gum benjamin;gum benzoin;Styrax benzoides;CL: ต้น
กำยำ	kam0jam0	sturdy;strong;robust
กำยำล่ำสัน	kam0jam0lam2san4	able-bodied
กำราก	kam0ra:k2	elephant in rut;CL: เชือก
กำราบ	kam0ra:p1	to suppress;to subdue;to intimidate;to tame
กำลัง	kam0laN0	power;energy;strength;force;work;labor;circumference of the tree;in the act of;in the process of
กำลังกาย	kam0laN0ka:j0	strength
กำลังขับ	kam0laN0Kap1	drive
กำลังช้างสาร	kam0laN0Ca:N3sa:n4	Naringi crenulata (Roxb.) Nicolson
กำลังซื้อ	kam0laN0sW:3	purchasing power
กำลังดี	kam0laN0di:0	just right;just perfect;exact;just;exactly
กำลังพล	kam0laN0Pon0	forces
กำลังภายใน	kam0laN0Pa:j0naj0	internal energy;internal power
กำลังม้า	kam0laN0ma:3	horse-power
กำลังวังชา	kam0laN0waN0Ca:0	strength;energy;power;effort
กำลังสำรอง	kam0laN0sam4rO:N0	reserve power;reserve force;reserve troops;reinforcement
กำลังหนุน	kam0laN0nun4	reserve power
กำลังหักแสง	kam0laN0hak1sE:N4	refraction
กำลังเทียน	kam0laN0Ti:an0	watt;candle power
กำลังเร็ว	kam0laN0rew0	speed
กำลังเสริม	kam0laN0sx:m4	reserve power
กำลังแรงงาน	kam0laN0rE:N0Na:n0	labor force;work force
กำลังใจ	kam0laN0caj0	spirit;moral support;will;will power;courage;morale
กำลังไฟฟ้า	kam0laN0faj0fa:3	electric power;CL: วัตต์
กำสรวล	kam0su:an4	to cry;to mourn;to moan;to lament
กำหนด	kam0not1	to decide;to assign;to fix;to set;to settle;to specify;specification
กำหนดกฎเกณฑ์	kam0not1kot1ke:n0	to specify;to stipulate;to determine;to define;regulation;decree;rule;law
กำหนดการ	kam0not1ka:n0	schedule;agenda;program;itinerary
กำหนดข้อต่อรอง	kam0not1KO:2tO:1rO:N0	to impose condition
กำหนดความหมาย	kam0not1Kwa:m0ma:j4	to interpret
กำหนดค่า	kam0not1Ka:2	to appraise
กำหนดจุดหมาย	kam0not1cut1ma:j4	to set a course for
กำหนดชื่อ	kam0not1CW:2	to name
กำหนดทรัพย์	kam0not1sap3	to register
กำหนดประเด็น	kam0not1pra0den0	to fix an issue
กำหนดมาตรการ	kam0not1ma:t2tra0ka:n0	to lay down measures
กำหนดระเบียบ	kam0not1ra0bi:ap1	to lay down regulations
กำหนดราคา	kam0not1ra:0Ka:0	to fix the price
กำหนดรูปแบบ	kam0not1ru:p2bE:p1	to set a format
กำหนดเกณฑ์	kam0not1ke:n0	to lay down a rule
กำหนดเงื่อนไข	kam0not1NW:an2Kaj4	to set conditions
กำหนดแผนการ	kam0not1PE:n4ka:n0	to plan
กำหนดใจ	kam0not1caj0	to intend;to concentrate;to contemplate;to determine
กำหนดไว้	kam0not1waj3	to note
กำหนัด	kam0nat1	lust;sexual desire;passion;sexually aroused
กำหมัด	kam0mat1	to clench one's hand
กำหราก	kam0ra:k1	elephant in rut;CL: เชือก
กำเกียง	kam0ki:aN0	immiscible;inharmonious;incompatible
กำเดา	kam0daw0	catarrhal fever;nosebleed;epistaxis;nasal catarrh
กำเดาะ	kam0dO1	adolescent;youthful;young
กำเนิด	kam0nx:t1	to be born;to give birth to;to originate;origin
กำเพลิง	kam0Plx:N0	flintlock gun
กำเริบ	kam0rx:p2	insolent;intense;to increase;to extend
กำเริบกาม	kam0rx:p2ka:m0	to have an intensified lustful
กำเริบเสิบสาน	kam0rx:p2sx:p1sa:n4	insolent;intense;to run wild
กำเสาะ	kam0sO1	weak;feeble;to search;to find
กำเหน็จ	kam0net1	goldsmith's fee
กำแพง	kam0PE:N0	wall;barrier;partition
กำแพงภาษี	kam0PE:N0Pa:0si:4	tariff wall;protective tariff;tariff barrier
กำแพงเพชร	kam0PE:N0Pet3	Kamphaeng Phet
กำแพงเมือง	kam0PE:N0mW:aN0	city wall;wall surrounding a city;CL: ด้าน
กำแพงเมืองจีน	kam0PE:N0mW:aN0ci:n0	Great Wall of China
กำแพงแก้ว	kam0PE:N0kE:w2	low wall surrounding a pagoda;defensive wall;parapet round a monument
กำแพ้ง	kam0PE:N3	diseased bamboo;infected bamboo
กำแหง	kam0hE:N4	to dare;insolent;intense
กำไร	kam0raj0	profit;gain;benefit;advantage
กำไรสุทธิ	kam0raj0sut1Ti3	net profit
กำไล	kam0laj0	bangle;bracelet;anklet;CL: ขอน, วง
กำไลมือ	kam0laj0mW:0	bracelet
กำไลแผง	kam0laj0PE:N4	bracelet
กิจ	kit1	duty;work;business;affair;activity;operation
กิจกรรม	kit1ca0kam0	activity;operation
กิจกรรมนอกหลักสูตร	kit1ca0kam0nO:k2lak1su:t1	extracurricular activity
กิจการ	kit1ca0ka:n0	business;trade;work;enterprise;undertaking
กิจการค้า	kit1ca0ka:n0Ka:3	commerce;trade;business;dealings
กิจการงาน	kit1ca0ka:n0Na:n0	work
กิจจะลักษณะ	kit1ca0lak3sa0na1	formal;businesslike;systematic;seriously;official;regular;methodical
กิจจา	kit1ca:0	matter;thing
กิจจานุกิจ	kit1ca:0nu3kit1	duties;variety of affairs;all kinds of matters;various things
กิจธุระ	kit1Tu3ra3	business;mission;commission;activity;errand;work;duty
กิจวัตร	kit1ca0wat3	routine;habitual practice;daily programme;daily task;often;frequently;usually
กิจวัตรประจำวัน	kit1ca0wat3pra0cam0wan0	daily routine;daily programme;daily task
กิจอันเป็นธรรม	kit1ca0an0pen0Tam0	righteousness
กิดาหยัน	ki1da:0jan4	royal pages;officer of a royal household
กิตติ	kit1ti1	praise;rumor;fame;report
กิตติกรรมประกาศ	kit1ti1kam0pra0ka:t1	acknowledgement;repute;recognized virtues
กิตติคุณ	kit1ti1Kun0	prestige;fame;report
กิตติมศักดิ์	kit1ti1ma0sak1	honorary;glorious;honorable
กิตติศัพท์	kit1ti1sap1	fame;prestige;rumor;report
กิน	kin0	to eat;to use;to take;to spend;to corrupt
กินกริบ	kin0krip1	to corrupt;to take into one's benefit fittingly
กินกัน	kin0kan0	to harmonize;to get along;to agree
กินกำลัง	kin0kam0laN0	to require labor;to use up a great deal of energy;to take much effort
กินกำไร	kin0kam0raj0	to seek additional profits;to charge an excessive price;to gain petty advantage
กินขวา	kin0Kwa:4	to exceed in the right side;to be inclined to the right
กินขาด	kin0Ka:t1	superior;much better
กินข้าว	kin0Ka:w2	to eat
กินครึ่งทิ้งครึ่ง	kin0KrWN2TiN3KrWN2	to eat extravagantly
กินความ	kin0Kwa:m0	to include;to mean;to cover;to touch on;to refer;to extend
กินชัน	kin0Can0	name of small bee;CL: ตัว
กินช้อน	kin0CO:n3	to take meal with a spoon
กินซ้าย	kin0sa:j3	to exceed in the left side;to be inclined to the left
กินดอก	kin0dO:k1	to practice usury;to get interest;to collect interest on money lent
กินดอกเบี้ย	kin0dO:k1bi:a2	to practice usury;to get interest;to collect interest on money lent
กินดอง	kin0dO:N0	wedding;matrimonial ceremony;feast at a marriage;to attend wedding feast
กินดาย	kin0da:j0	to take off the opponent's all chesses
กินดิบ	kin0dip1	to win easily;easy to gain a victory;easy to do;easy to accomplish;kind of banana
กินตะเกียบ	kin0ta0ki:ap1	to take meal with chopsticks
กินตา	kin0ta:0	to deceive the eyes;mistaken one for another;difficult to see;difficult to notice
กินตำแหน่ง	kin0tam0nEN1	to hold the position;to be enthroned a position
กินทาง	kin0Ta:N0	to transgress the white line (in driving );to stride over other people's driving lane
กินทิ้งกินขว้าง	kin0TiN3kin0Kwa:N2	to waste grain
กินที่	kin0Ti:2	to take up room;to take up space;to take up land
กินนร	kin0nO:n0	mythical creature;half-human and half-bird;a bird with a human head;CL: ตน, ตัว
กินนรรำ	kin0nO:n0ram0	a Thai dancing posture;attitudes assumed in Siamese theatricals;kind of Thai verse;a form in poetry
กินนอกกินใน	kin0nO:k2kin0naj0	to embezzle;to take bribes
กินนอน	kin0nO:n0	to do nothing without eat and sleep;to live a life of idleness;boarding;resident
กินน้ำลึก	kin0nam3lWk3	to have a draught;to require deep waterway
กินบวช	kin0bu:at1	to eat vegetarian meal;to be in initiated into monkhood
กินปลิง	kin0pliN0	name of bird;CL: ตัว
กินผัว	kin0Pu:a4	to bring death to the husband;to run through one's husbands
กินพื้นที่	kin0PW:n3Ti:2	to cover
กินมือ	kin0mW:0	to eat with fingers
กินยาถ่าย	kin0ja:0Ta:j1	to purge
กินรี	kin0na0ri:0	half-bird half-woman;female bird with a human head;CL: ตัว, ตน
กินรูป	kin0ru:p2	look smaller than reality;to mistake a small size for a large size
กินลม	kin0lom0	to take an outing for rest health;to catch the wind
กินลึก	kin0lWk3	profound;unfathomable;to affect deeply;to have a deep draft;to settle deeply in the water
กินล้างกินผลาญ	kin0la:N3kin0Pla:n4	to eat extravagantly
กินสั่ง	kin0saN1	overeaten;to take the last meal before die
กินสำรับ	kin0sam4rap3	to eat food in a set
กินสินบน	kin0sin4bon0	to embezzle
กินสี่ถ้วย	kin0si:1Tu:aj2	to feast in a party;to have a dinner in a banquet which has special 4 desserts
กินส้อม	kin0sO:m2	to eat with fork
กินอยู่พูวาย	kin0ju:1Pu:0wa:j0	to live well;to live in luxury
กินอาหาร	kin0a:0ha:n4	to have a meal
กินเกลี้ยง	kin0kli:aN2	to eat up
กินเครา	kin0Kraw0	kind of bird in literature;CL: ตัว
กินเจ	kin0ce:0	to practice vegetarianism;to eat vegetarian food
กินเนื้อที่	kin0nW:a3Ti:2	to take up room;to take up space;to take up land
กินเปล่า	kin0pla:w1	to get sth for nothing
กินเปี้ยว	kin0pi:aw2	white-collared kingfisher;Halcyon chloris;CL: ตัว
กินเมีย	kin0mi:a0	having many deceased wives;to bring death to the wife;to run through one's wives
กินเมือง	kin0mW:aN0	to govern a town;to administer a country
กินเรียบ	kin0ri:ap2	to eat up
กินเลี้ยง	kin0li:aN3	to feast;to banquet
กินเวลา	kin0we:0la:0	to take time;to take a lot of time
กินเศษกินเลย	kin0se:t1kin0lx:j0	to molest;to harass;to annoy;to embezzle;to misapply
กินเส้น	kin0sen2	to get together;to agree
กินเหล้า	kin0law2	to drink
กินแจ	kin0cE:0	to practice vegetarianism
กินแถว	kin0TE:w4	to take off opponent's whole row of chesses;all;whole;everyone
กินแรง	kin0rE:N0	to become a parasite;to profit by the efforts of another;to gain advantage by unfair means;to require labor;to use up a great deal of energy
กินแหนง	kin0nE:N4	to doubt;to suspect
กินแหนงแคลงใจ	kin0nE:N4KlE:N0caj0	to doubt
กินโต๊ะ	kin0to3	to besiege;to attack from all sides;to banquet;to feast;to have a Chinese dinner
กินโต๊ะจีน	kin0to3ci:n0	to banquet
กินใจ	kin0caj0	to distrust;to suspect;to impress;to affect deeply;to bear in mind;impressive;profound
กินใน	kin0naj0	to doubt;to suspect
กินไม่ลง	kin0maj2loN0	difficult to win;to refrain from winning;unable to eat
กิมิวิทยา	ki1mi3wit3Ta0ja:0	helminthology;science of worm
กิริณี	ki1ri3ni:0	female elephant;CL: เชือก
กิรินท	ki1rin0Ta3	great elephant
กิริยา	ki1ri3ja:0	verb;manners;behaviour
กิริยาดี	ki1ri3ja:0di:0	politeness
กิริยาท่าทาง	ki1ri3ja:0Ta:2Ta:N0	manner;behaviour
กิริยามารยาท	ki1ri3ja:0ma:0ra0ja:t2	manners;politeness;behavior;act
กิริยาสะท้อน	ki1ri3ja:0sa0TO:n3	reaction;rapid movement of the muscle
กิริยาอาการ	ki1ri3ja:0a:0ka:n0	conduct;behavior;act;manners
กิริเนศวร	ki1ri3ne:0su:an4	great elephant;important elephant;CL: เชือก
กิเลน	ki1le:n0	kylin;(Chinese) unicorn;dragon-headed unicorn;CL: ตัว
กิเลส	ki1le:t1	desire;lust;sin;evil wish;longing;greed;human passion
กิโมโน	ki0mo:0no:0	kimono;CL: ผืน
กิโยตีน	ki0jo:0ti:n0	guillotine
กิโล	ki0lo:0	kilogram
กิโลกรัม	ki0lo:0kram0	kilogram
กิโลบิต	ki0lo:0bit1	kilobit
กิโลมกะ	ki1lo:0ma0ka1	fascia
กิโลลิตร	ki0lo:0lit3	kiloliter
กิโลวัตต์	ki0lo:0wat3	kilowatt
กิโลเมตร	ki0lo:0met3	kilometer
กิโลเฮิรตซ์	ki0lo:0hx:t3	kilocycle
กิโลเฮิร์ตซ์	ki0lo:0hx:t3	kilohertz
กิโลไซเกิล	ki0lo:0saj0kx:n0	kilocycle
กิโลไบต์	ki0lo:0baj3	kilobyte
กิ่ง	kiN1	classifier for ivory;branch;twig;bough;limb;CL: กิ่ง
กิ่งก้อย	kiN1kO:j2	little finger;little;small;insignificant;negligible;trivial
กิ่งก้าน	kiN1ka:n2	branch;twig;bough;limb;CL: กิ่ง
กิ่งก้านสาขา	kiN1ka:n2sa:4Ka:4	branch;twig;bough;limb;division;subdivision
กิ่งอำเภอ	kiN1am0Px:0	sub-district;CL: กิ่งอำเภอ
กิ่งไม้	kiN1ma:j3	branch;twig;bough;limb;CL: กิ่ง
กิ่ว	kiw1	compressed;condensed;contracted;constricted
กิ้งกือ	kiN2kW:0	millipede;CL: ตัว
กิ้งก่า	kiN2ka:1	chameleon;tree lizard;CL: ตัว
กิ้งก้าน	kiN2ka:n2	small branch
กิ๊กก๊อก	kik3kOk3	poor;bad;inferior
กิ๊บ	kip3	hairpin;hair clip;CL: ตัว
กีฏวิทยา	ki:0ta0wit3Ta0ja:0	entomology;CL: วิชา
กีด	ki:t1	to obstruct;to block;to prevent
กีดกัน	ki:t1kan0	to obstruct;to block;to prevent
กีดกั้น	ki:t1kan2	to hinder;to block
กีดขวาง	ki:t1Kwa:N4	to obstruct;to block
กีดหน้าขวางตา	ki:t1na:2Kwa:N4ta:0	to hinder;to annoy by obstructing
กีดเกะกะ	ki:t1ke1ka1	to hesitate
กีตาร์	ki:0ta:2	guitar;CL: ตัว
กีบ	ki:p1	Laos currency;hoof;CL: กีบ
กีบแรด	ki:p1rE:t2	Angiopteris evecta (Marattiaceae);CL: ต้น
กีฬา	ki:0la:0	sport;game;exercise
กีฬากระโดดสูง	ki:0la:0kra0do:t1su:N4	high jump
กีฬากระโดดไกล	ki:0la:0kra0do:t1klaj0	broad jump
กีฬากลางแจ้ง	ki:0la:0kla:N0cE:N2	outdoor sports;outdoor game
กีฬาชนไก่	ki:0la:0Con0kaj1	cockfighting
กีฬาชักกะเย่อ	ki:0la:0Cak3ka0jx:2	tug-of-war
กีฬาซีเกมส์	ki:0la:0si:0ke:m0	Southeast Asia Games
กีฬาทางน้ำ	ki:0la:0Ta:N0na:m3	marine sport;water sport;CL: ชนิด, ประเภท
